Country,Region,Population,Under15,Over60,LifeExpectancy,ChildMortality,CellularSubscribers
El Salvador,Americas,6297,30.62,9.64,72,15.9,133.54
Equatorial Guinea,Africa,736,38.95,4.53,54,100.3,59.15
Eritrea,Africa,6131,43.1,3.73,61,51.8,4.47
Estonia,Europe,1291,15.69,23.92,76,3.6,138.98
Ethiopia,Africa,91729,43.29,5.17,60,68.3,16.67
Fiji,Western Pacific,875,28.88,8.38,70,22.4,83.72
Finland,Europe,5408,16.42,25.9,81,2.9,166.02
France,Europe,63937,18.26,23.82,82,4.1,94.79
Gabon,Africa,1633,38.49,7.38,62,62,117.32
Gambia,Africa,1791,45.9,3.72,58,72.9,78.89
Georgia,Europe,4358,17.62,19.47,72,19.9,102.31
Germany,Europe,82800,13.17,26.72,81,4.1,132.3
Ghana,Africa,25366,38.59,5.4,64,72,84.78
Greece,Europe,11125,14.6,25.41,81,4.8,106.48
Grenada,Americas,105,26.96,9.72,74,13.5,
Guatemala,Americas,15083,40.8,6.56,69,32,140.38
Guinea,Africa,11451,42.46,5.03,55,101.2,44.02
Guinea-Bissau,Africa,1664,41.55,5.06,50,129.1,56.18
Guyana,Americas,795,36.77,5.18,63,35.2,69.94
Haiti,Americas,10174,35.35,6.7,63,75.6,41.49
Honduras,Americas,7936,35.72,6.41,74,22.9,103.97
Hungary,Europe,9976,14.62,23.41,75,6.2,117.3
Iceland,Europe,326,20.71,17.62,82,2.3,106.08
India,South-East Asia,1240000,29.43,8.1,65,56.3,72
Indonesia,South-East Asia,247000,29.27,7.86,69,31,103.09
Iran (Islamic Republic of),Eastern Mediterranean,76424,23.68,7.82,73,17.6,74.93
Iraq,Eastern Mediterranean,32778,40.51,4.95,69,34.4,78.12
Ireland,Europe,4576,21.54,16.59,81,4,108.41
Israel,Europe,7644,27.53,15.15,82,4.2,121.66
Italy,Europe,60885,14.04,26.97,82,3.8,157.93
Jamaica,Americas,2769,27.78,10.98,75,16.8,108.12
Japan,Western Pacific,127000,13.12,31.92,83,3,104.95
Jordan,Eastern Mediterranean,7009,34.13,5.3,74,19.1,118.2
Kazakhstan,Europe,16271,25.46,10.04,67,18.7,155.74
Kenya,Africa,43178,42.37,4.25,60,72.9,67.49
Kiribati,Western Pacific,101,30.1,8.84,67,59.9,13.64
Kuwait,Eastern Mediterranean,3250,24.9,3.8,80,11,175.09
Kyrgyzstan,Europe,5474,30.21,6.34,69,26.6,116.4
Lao People's Democratic Republic,Western Pacific,6646,35.61,5.76,68,71.8,87.16
Latvia,Europe,2060,14.57,24.24,74,8.7,102.94
Lebanon,Eastern Mediterranean,4647,21.64,12.03,74,9.3,78.65
Lesotho,Africa,2052,36.75,6.31,50,99.6,56.17
Liberia,Africa,4190,43.06,4.76,59,74.8,49.17
Libya,Eastern Mediterranean,6155,29.45,6.96,65,15.4,155.7
Lithuania,Europe,3028,15.13,20.57,74,5.4,151.3
Luxembourg,Europe,524,17.46,19.15,82,2.2,148.27
Madagascar,Africa,22294,42.72,4.45,66,58.2,40.65
Malawi,Africa,15906,45.44,4.92,58,71,25.69
Malaysia,Western Pacific,29240,26.65,8.21,74,8.5,127.04
Maldives,South-East Asia,338,29.03,6.65,77,10.5,165.72
Mali,Africa,14854,47.14,4.29,51,128,68.32
Malta,Europe,428,14.98,22.87,80,6.8,124.86
Marshall Islands,Western Pacific,53,30.1,8.84,60,37.9,
Mauritania,Africa,3796,40.22,4.94,59,84,93.6
Mauritius,Africa,1240,20.17,13.23,74,15.1,99.04
Mexico,Americas,121000,29.02,9.18,75,16.2,82.38
Micronesia (Federated States of),Western Pacific,103,35.81,6.67,69,38.5,
Monaco,Europe,38,18.26,23.82,82,3.8,89.73
Mongolia,Western Pacific,2796,27.05,5.8,68,27.5,105.08
Montenegro,Europe,621,19.01,18.58,76,5.9,
Morocco,Eastern Mediterranean,32521,27.85,7.61,72,31.1,113.26
Mozambique,Africa,25203,45.38,5.01,53,89.7,32.83
Myanmar,South-East Asia,52797,25.28,8.15,65,52.3,2.57
Namibia,Africa,2259,36.59,5.38,65,38.7,96.39
Nauru,Western Pacific,10,30.1,8.84,71,37.1,65
Nepal,South-East Asia,27474,35.58,7.65,68,41.6,43.81
Netherlands,Europe,16714,17.21,23.02,81,4.1,
New Zealand,Western Pacific,4460,20.26,19.01,81,5.7,109.19
Nicaragua,Americas,5992,33.37,6.59,73,24.4,82.15
Niger,Africa,17157,49.99,4.26,56,113.5,29.52
Nigeria,Africa,169000,44.23,4.49,53,123.7,58.58
Niue,Western Pacific,1,30.61,9.07,72,25.1,
Norway,Europe,4994,18.64,21.41,81,2.8,115.62
Oman,Eastern Mediterranean,3314,24.19,3.99,72,11.6,168.97
Pakistan,Eastern Mediterranean,179000,34.31,6.44,67,85.9,61.61
Palau,Western Pacific,21,30.1,8.84,72,20.8,74.94
Panama,Americas,3802,28.65,10.13,77,18.5,188.6
Papua New Guinea,Western Pacific,7167,38.37,4.79,63,63,34.22
Paraguay,Americas,6687,32.78,8.01,75,22,99.4
Peru,Americas,29988,29.18,9.12,77,18.2,110.41
Philippines,Western Pacific,96707,34.53,6.21,69,29.8,99.3
Poland,Europe,38211,14.91,20.48,76,5,130.97
Portugal,Europe,10604,14.92,24.39,80,3.6,115.39
Qatar,Eastern Mediterranean,2051,13.28,1.73,82,7.4,123.11
Republic of Korea,Western Pacific,49003,15.25,16.58,81,3.8,108.5
Republic of Moldova,Europe,3514,16.52,16.72,71,17.6,104.8
Romania,Europe,21755,15.05,20.66,74,12.2,109.16
Russian Federation,Europe,143000,15.45,18.6,69,10.3,179.31
Rwanda,Africa,11458,43.56,3.94,60,55,40.63
Saint Kitts and Nevis,Americas,54,25.96,12.35,74,9.2,
Saint Lucia,Americas,181,24.31,12.13,75,17.5,123
Saint Vincent and the Grenadines,Americas,109,25.7,9.92,74,23.4,120.52
Samoa,Western Pacific,189,37.88,7.39,73,17.8,
San Marino,Europe,31,14.04,26.97,83,3.3,111.75
Sao Tome and Principe,Africa,188,41.6,4.76,63,53.2,68.26
Saudi Arabia,Eastern Mediterranean,28288,29.69,4.59,76,8.6,191.24
Senegal,Africa,13726,43.54,4.57,61,59.6,73.25
Serbia,Europe,9553,16.45,20.52,74,6.6,125.39
Seychelles,Africa,92,21.95,10.05,74,13.1,145.71
Sierra Leone,Africa,5979,41.74,4.41,47,181.6,35.63
Singapore,Western Pacific,5303,16.48,15.13,82,2.9,150.24
Slovakia,Europe,5446,15,18.6,76,7.5,109.35
Slovenia,Europe,2068,14.16,23.16,80,3.1,106.56
Solomon Islands,Western Pacific,550,40.37,5.1,70,31.1,49.77
Somalia,Eastern Mediterranean,10195,47.35,4.46,50,147.4,6.85
South Africa,Africa,52386,29.53,8.44,58,44.6,126.83
South Sudan,Eastern Mediterranean,10838,42.28,5.26,54,104,
Spain,Europe,46755,15.2,22.86,82,4.5,113.22
Sri Lanka,South-East Asia,21098,25.15,12.4,75,9.6,87.05
Sudan,Eastern Mediterranean,37195,41.48,4.99,62,73.1,56.14
Suriname,Americas,535,27.83,9.55,72,20.8,178.88
Swaziland,Africa,1231,38.05,5.34,50,79.7,63.7
Sweden,Europe,9511,16.71,25.32,82,2.9,118.57
Switzerland,Europe,7997,14.79,23.25,83,4.3,131.43
Syrian Arab Republic,Eastern Mediterranean,21890,35.35,6.09,75,15.1,63.17
Tajikistan,Europe,8009,35.75,4.8,68,58.3,90.64
Thailand,South-East Asia,66785,18.47,13.96,74,13.2,111.63
The former Yugoslav Republic of Macedonia,Europe,2106,16.89,17.56,75,7.4,107.24
Timor-Leste,South-East Asia,1114,46.33,5.16,64,56.7,53.23
Togo,Africa,6643,41.89,4.44,56,95.5,50.45
Tonga,Western Pacific,105,37.33,7.96,72,12.8,52.63
Trinidad and Tobago,Americas,1337,20.73,13.18,71,20.7,135.64
Tunisia,Eastern Mediterranean,10875,23.22,10.49,76,16.1,116.93
Turkey,Europe,73997,26,10.56,76,14.2,88.7
Turkmenistan,Europe,5173,28.65,6.3,63,52.8,68.77
Tuvalu,Western Pacific,10,30.61,9.07,64,29.7,21.63
Uganda,Africa,36346,48.54,3.72,56,68.9,48.38
Ukraine,Europe,45530,14.18,20.76,71,10.7,122.98
United Arab Emirates,Eastern Mediterranean,9206,14.41,0.81,76,8.4,148.62
United Kingdom,Europe,62783,17.54,23.06,80,4.8,130.75
United Republic of Tanzania,Africa,47783,44.85,4.89,59,54,55.53
United States of America,Americas,318000,19.63,19.31,79,7.1,92.72
Uruguay,Americas,3395,22.05,18.59,77,7.2,140.75
Uzbekistan,Europe,28541,28.9,6.38,68,39.6,91.65
Vanuatu,Western Pacific,247,37.37,6.02,72,17.9,55.76
Venezuela (Bolivarian Republic of),Americas,29955,28.84,9.17,75,15.3,97.78
Viet Nam,Western Pacific,90796,22.87,9.32,75,23,143.39
Yemen,Eastern Mediterranean,23852,40.72,4.54,64,60,47.05
Zambia,Africa,14075,46.73,3.95,55,88.5,60.59
Zimbabwe,Africa,13724,40.24,5.68,54,89.8,72.13
